date,country,event_type,title,title_fa,description,description_fa,economic_domains,source_url,source_name
1933-03-19,PRT,institutional-change,Estado Novo constitution approved,تصویب قانون اساسی «دولت نو»,"National plebiscite approves Salazar's corporatist constitution, establishing an authoritarian 'unitary, corporative republic' that organizes the economy into state-controlled sectoral corporations rather than free markets or independent unions.",همه‌پرسی ملی قانون اساسی صنفی‌گرای سالازار را تصویب کرد و «جمهوری یکپارچه و صنفی» اقتدارگرایی را بنیان نهاد که اقتصاد را به‌جای بازار آزاد یا اتحادیه‌های مستقل، در قالب اصناف بخشی تحت کنترل دولت سازمان می‌داد.,fiscal,https://www.britannica.com/biography/Antonio-de-Oliveira-Salazar,Encyclopaedia Britannica
1948-04-16,PRT,institutional-change,Portugal joins the OEEC and receives Marshall Plan aid,پیوستن پرتغال به سازمان همکاری اقتصادی اروپا و دریافت کمک طرح مارشال,"Portugal is a founding member of the Organisation for European Economic Co-operation despite Salazar's initial reluctance to accept US aid; Portugal ultimately receives $54m in direct and $18.3m in indirect Marshall Plan assistance through 1951, its main benefit being OEEC membership itself.",پرتغال با وجود بی‌میلی اولیه سالازار به پذیرش کمک آمریکا، از اعضای بنیان‌گذار سازمان همکاری اقتصادی اروپا بود؛ پرتغال تا سال 1951 در نهایت 54 میلیون دلار کمک مستقیم و 18.3 میلیون دلار کمک غیرمستقیم طرح مارشال دریافت کرد که سود اصلی آن خودِ عضویت در این سازمان بود.,fiscal;trade,https://www.cvce.eu/en/recherche/unit-content/-/unit/a7b75b14-91dc-48dd-9df0-a0d51a9edfef/63dfd5f2-b99e-4d5e-a7ee-528a8e0a23b9,CVCE — Portugal and the European Integration Process
1960-05-03,PRT,institutional-change,Portugal founding member of EFTA,عضویت بنیان‌گذار پرتغال در انجمن تجارت آزاد اروپا,"Portugal joins Austria, Denmark, Norway, Sweden, Switzerland and the UK in founding the European Free Trade Association as an alternative to the EEC, remaining a member until switching to the EEC in 1986.",پرتغال در کنار اتریش، دانمارک، نروژ، سوئد، سوئیس و بریتانیا انجمن تجارت آزاد اروپا را به‌عنوان بدیلی برای جامعه اقتصادی اروپا بنیان نهاد و تا زمان پیوستن به جامعه اقتصادی اروپا در سال 1986 عضو آن ماند.,trade,https://en.wikipedia.org/wiki/European_Free_Trade_Association,Wikipedia — European Free Trade Association (cross-check)
1961-02-04,PRT,catastrophe,Colonial wars begin (Angola),آغاز جنگ‌های استعماری (آنگولا),"Uprising in northern Angola marks the start of a 13-year war across Angola, Guinea-Bissau and Mozambique; war-related spending averages roughly 22% of state expenditure (about 3% of GDP) through 1974, straining the Estado Novo's finances.",قیام در شمال آنگولا آغاز جنگی سیزده‌ساله در آنگولا، گینه بیسائو و موزامبیک را رقم زد؛ هزینه‌های مرتبط با جنگ تا سال 1974 به‌طور میانگین حدود 22 درصد مخارج دولت (حدود 3 درصد تولید ناخالص داخلی) بود و مالیه «دولت نو» را تحت فشار گذاشت.,fiscal,https://www.cambridge.org/core/journals/revista-de-historia-economica-journal-of-iberian-and-latin-american-economic-history/article/abs/financial-costs-of-the-portuguese-colonial-war-19611974-analysis-and-applied-study/31B3C7ADFAAB352A4D4EBAF0BFB7E3CA,Revista de Historia Económica — Cambridge University Press
1974-04-25,PRT,political-event,Carnation Revolution,انقلاب میخک,"Armed Forces Movement (MFA) officers overthrow the Estado Novo regime in an almost bloodless coup, ending 41 years of authoritarian corporatist rule and starting Portugal's transition to democracy.",افسران جنبش نیروهای مسلح رژیم «دولت نو» را در کودتایی تقریباً بدون خون‌ریزی سرنگون کردند و به 41 سال حکومت اقتدارگرای صنفی پایان دادند و گذار پرتغال به دموکراسی را آغاز کردند.,fiscal,https://www.britannica.com/topic/Revolution-of-the-Carnations,Encyclopaedia Britannica
1975-03-14,PRT,policy-enacted,Nationalization wave begins,آغاز موج ملی‌سازی,"Revolutionary government nationalizes banks, insurance companies and major industrial firms; 244 private enterprises are nationalized between March 1975 and July 1976 as radical MFA officers push a Marxist-oriented economic transformation.",دولت انقلابی بانک‌ها، شرکت‌های بیمه و بنگاه‌های بزرگ صنعتی را ملی کرد؛ میان مارس 1975 و ژوئیه 1976، 244 بنگاه خصوصی ملی شدند، در حالی که افسران تندروی جنبش نیروهای مسلح دگرگونی اقتصادی با گرایش مارکسیستی را پیش می‌بردند.,banking;fiscal,https://countrystudies.us/portugal/65.htm,US Library of Congress Country Studies — Portugal
1976-04-02,PRT,institutional-change,1976 Constitution ratified,تصویب قانون اساسی 1976,"New constitution declares all post-1974 nationalizations 'irreversible conquests of the working classes' and commits the state to 'ensure the transition to socialism', before the 1982 and 1989 revisions walk back these provisions and open the way to privatization.",قانون اساسی جدید تمام ملی‌سازی‌های پس از 1974 را «دستاوردهای برگشت‌ناپذیر طبقات کارگر» اعلام کرد و دولت را به «تضمین گذار به سوسیالیسم» متعهد ساخت، پیش از آنکه بازنگری‌های 1982 و 1989 این مفاد را عقب بنشانند و راه را برای خصوصی‌سازی بگشایند.,fiscal,https://en.wikipedia.org/wiki/Constitution_of_Portugal,Wikipedia — Constitution of Portugal (cross-check chronology skeleton)
1977-04-01,PRT,policy-enacted,First IMF stabilization program,نخستین برنامه تثبیت صندوق بین‌المللی پول,"Portugal signs its first IMF Stand-By Arrangement (SDR 42.4 million) as post-revolutionary nationalization, wage growth and the 1973-75 oil shock produce a severe balance-of-payments crisis.",پرتغال نخستین توافق آماده‌به‌کار خود با صندوق بین‌المللی پول (42.4 میلیون حق برداشت مخصوص) را امضا کرد، در حالی که ملی‌سازی پس از انقلاب، رشد دستمزدها و شوک نفتی 1973-1975 بحران شدید تراز پرداخت‌ها را پدید آورده بود.,fx;fiscal,https://www.elibrary.imf.org/view/journals/022/0018/003/article-A007-en.xml,"IMF Finance & Development — Stabilization Policy in Portugal, 1974-78"
1983-10-01,PRT,policy-enacted,Second IMF stabilization program,دومین برنامه تثبیت صندوق بین‌المللی پول,Portugal signs a second IMF Stand-By Arrangement to address a severe balance-of-payments and fiscal crisis; escudo devaluation and interest-rate hikes produce a sharp but short recession before a robust 1985 recovery.,پرتغال دومین توافق آماده‌به‌کار خود با صندوق بین‌المللی پول را برای رویارویی با بحران شدید تراز پرداخت‌ها و بحران مالی امضا کرد؛ کاهش ارزش اسکودو و افزایش نرخ بهره رکودی تند اما کوتاه پدید آورد، پیش از بازیابی نیرومند سال 1985.,fx;fiscal,https://ffms.pt/en/estudos/1983-1984-crisis-took-long-time-coming,Fundação Francisco Manuel dos Santos
1986-01-01,PRT,institutional-change,Portugal joins the EEC,پیوستن پرتغال به جامعه اقتصادی اروپا,"Portugal accedes to the European Economic Community alongside Spain, accelerating trade liberalization, foreign investment and eventual access to EU structural funds.",پرتغال در کنار اسپانیا به جامعه اقتصادی اروپا پیوست و آزادسازی تجاری، سرمایه‌گذاری خارجی و در نهایت دسترسی به صندوق‌های ساختاری اتحادیه اروپا را شتاب بخشید.,trade;fiscal,https://www.cvce.eu/en/recherche/unit-content/-/unit/a7b75b14-91dc-48dd-9df0-a0d51a9edfef/d469ffb4-6779-455f-884a-74f7977183c1,CVCE — Portugal and the European Integration Process
